(06/26/2025 06:55:44PM) Core:2 "DECLARE var0 = 100"
(06/26/2025 06:55:45PM) Core:2 "DECLARE var1 = 17"
(06/26/2025 06:55:45PM) Core:2 "DECLARE var2 = 82"
(06/26/2025 06:55:45PM) Core:2 "DECLARE var3 = 19"
(06/26/2025 06:55:45PM) Core:2 "DECLARE var4 = 36"
(06/26/2025 06:55:45PM) Core:2 "Hello from hello [5]"
(06/26/2025 06:55:45PM) Core:2 "SUBTRACT result6 = 17 - 82"
(06/26/2025 06:55:45PM) Core:2 "ADD result7 = 82 + 19"
(06/26/2025 06:55:45PM) Core:2 "Hello from hello [8]"
(06/26/2025 06:55:45PM) Core:2 "DECLARE var9 = 53"
(06/26/2025 06:55:46PM) Core:2 "Hello from hello [10]"
(06/26/2025 06:55:47PM) Core:2 "Loop iteration 1"
(06/26/2025 06:55:47PM) Core:2 "Loop iteration 2"
(06/26/2025 06:55:47PM) Core:2 "Loop iteration 3"
(06/26/2025 06:55:47PM) Core:2 "Loop iteration 1"
(06/26/2025 06:55:47PM) Core:2 "Loop iteration 2"
(06/26/2025 06:55:47PM) Core:2 "Loop iteration 3"
(06/26/2025 06:55:47PM) Core:2 "Loop iteration 1"
(06/26/2025 06:55:47PM) Core:2 "Loop iteration 2"
(06/26/2025 06:55:47PM) Core:2 "Loop iteration 3"
(06/26/2025 06:55:48PM) Core:2 "SUBTRACT result14 = 36 - 100"
(06/26/2025 06:55:48PM) Core:2 "ADD result15 = 100 + 17"
(06/26/2025 06:55:49PM) Core:2 "SUBTRACT result17 = 82 - 19"
(06/26/2025 06:55:49PM) Core:2 "ADD result18 = 19 + 36"
(06/26/2025 06:55:49PM) Core:2 "Hello from hello [19]"
(06/26/2025 06:55:49PM) Core:2 "SUBTRACT result20 = 100 - 17"
(06/26/2025 06:55:49PM) Core:2 "ADD result21 = 17 + 82"
(06/26/2025 06:55:49PM) Core:2 "DECLARE var22 = 97"
(06/26/2025 06:55:50PM) Core:2 "DECLARE var23 = 54"
(06/26/2025 06:55:50PM) Core:2 "Loop iteration 1"
(06/26/2025 06:55:50PM) Core:2 "Loop iteration 2"
(06/26/2025 06:55:50PM) Core:2 "Loop iteration 3"
(06/26/2025 06:55:50PM) Core:2 "Loop iteration 1"
(06/26/2025 06:55:50PM) Core:2 "Loop iteration 2"
(06/26/2025 06:55:50PM) Core:2 "Loop iteration 3"
(06/26/2025 06:55:50PM) Core:2 "Loop iteration 1"
(06/26/2025 06:55:50PM) Core:2 "Loop iteration 2"
(06/26/2025 06:55:50PM) Core:2 "Loop iteration 3"
(06/26/2025 06:55:50PM) Core:2 "Loop iteration 1"
(06/26/2025 06:55:50PM) Core:2 "Loop iteration 2"
(06/26/2025 06:55:50PM) Core:2 "Loop iteration 3"
(06/26/2025 06:55:50PM) Core:2 "Loop iteration 1"
(06/26/2025 06:55:50PM) Core:2 "Loop iteration 2"
(06/26/2025 06:55:50PM) Core:2 "Loop iteration 3"
(06/26/2025 06:55:50PM) Core:2 "SUBTRACT result26 = 17 - 82"
(06/26/2025 06:55:50PM) Core:2 "Hello from hello [27]"
(06/26/2025 06:55:51PM) Core:2 "ADD result29 = 36 + 100"
(06/26/2025 06:55:51PM) Core:2 "Hello from hello [30]"
(06/26/2025 06:55:51PM) Core:2 "ADD result31 = 17 + 82"
(06/26/2025 06:55:51PM) Core:2 "DECLARE var32 = 34"
(06/26/2025 06:55:51PM) Core:2 "Loop iteration 1"
(06/26/2025 06:55:51PM) Core:2 "Loop iteration 2"
(06/26/2025 06:55:51PM) Core:2 "Loop iteration 3"
(06/26/2025 06:55:51PM) Core:2 "Loop iteration 1"
(06/26/2025 06:55:51PM) Core:2 "Loop iteration 2"
(06/26/2025 06:55:51PM) Core:2 "Loop iteration 3"
(06/26/2025 06:55:51PM) Core:2 "Loop iteration 1"
(06/26/2025 06:55:51PM) Core:2 "Loop iteration 2"
(06/26/2025 06:55:51PM) Core:2 "Loop iteration 3"
(06/26/2025 06:55:51PM) Core:2 "Loop iteration 1"
(06/26/2025 06:55:51PM) Core:2 "Loop iteration 2"
(06/26/2025 06:55:51PM) Core:2 "Loop iteration 3"
(06/26/2025 06:55:52PM) Core:2 "ADD result34 = 36 + 100"
(06/26/2025 06:55:52PM) Core:2 "Loop iteration 1"
(06/26/2025 06:55:52PM) Core:2 "Loop iteration 2"
(06/26/2025 06:55:52PM) Core:2 "Loop iteration 3"
(06/26/2025 06:55:52PM) Core:2 "Loop iteration 1"
(06/26/2025 06:55:52PM) Core:2 "Loop iteration 2"
