(06/26/2025 09:00:08PM) Core:3 "DECLARE var0 = 24"
(06/26/2025 09:00:09PM) Core:3 "DECLARE var1 = 32"
(06/26/2025 09:00:09PM) Core:3 "DECLARE var2 = 61"
(06/26/2025 09:00:09PM) Core:3 "DECLARE var3 = 69"
(06/26/2025 09:00:09PM) Core:3 "DECLARE var4 = 32"
(06/26/2025 09:00:09PM) Core:3 "ADD result5 = 24 + 32"
(06/26/2025 09:00:09PM) Core:3 "ADD result6 = 32 + 61"
(06/26/2025 09:00:09PM) Core:3 "Loop iteration 1"
(06/26/2025 09:00:09PM) Core:3 "Loop iteration 2"
(06/26/2025 09:00:09PM) Core:3 "Loop iteration 3"
(06/26/2025 09:00:09PM) Core:3 "Loop iteration 1"
(06/26/2025 09:00:09PM) Core:3 "Loop iteration 2"
(06/26/2025 09:00:09PM) Core:3 "Loop iteration 3"
(06/26/2025 09:00:09PM) Core:3 "Loop iteration 1"
(06/26/2025 09:00:09PM) Core:3 "Loop iteration 2"
(06/26/2025 09:00:09PM) Core:3 "Loop iteration 3"
(06/26/2025 09:00:09PM) Core:3 "Loop iteration 1"
(06/26/2025 09:00:09PM) Core:3 "Loop iteration 2"
(06/26/2025 09:00:09PM) Core:3 "Loop iteration 3"
(06/26/2025 09:00:10PM) Core:3 "Hello from o [10]"
(06/26/2025 09:00:11PM) Core:3 "Hello from o [12]"
(06/26/2025 09:00:11PM) Core:3 "DECLARE var13 = 63"
(06/26/2025 09:00:12PM) Core:3 "Hello from o [14]"
(06/26/2025 09:00:12PM) Core:3 "Loop iteration 1"
(06/26/2025 09:00:12PM) Core:3 "Loop iteration 2"
(06/26/2025 09:00:12PM) Core:3 "Loop iteration 3"
(06/26/2025 09:00:12PM) Core:3 "Loop iteration 1"
(06/26/2025 09:00:12PM) Core:3 "Loop iteration 2"
(06/26/2025 09:00:12PM) Core:3 "Loop iteration 3"
(06/26/2025 09:00:12PM) Core:3 "Hello from o [16]"
(06/26/2025 09:00:12PM) Core:3 "SUBTRACT result18 = 69 - 32"
(06/26/2025 09:00:12PM) Core:3 "Loop iteration 1"
(06/26/2025 09:00:12PM) Core:3 "Loop iteration 2"
(06/26/2025 09:00:12PM) Core:3 "Loop iteration 3"
(06/26/2025 09:00:12PM) Core:3 "Loop iteration 1"
(06/26/2025 09:00:12PM) Core:3 "Loop iteration 2"
(06/26/2025 09:00:12PM) Core:3 "Loop iteration 3"
(06/26/2025 09:00:12PM) Core:3 "Loop iteration 1"
(06/26/2025 09:00:12PM) Core:3 "Loop iteration 2"
(06/26/2025 09:00:12PM) Core:3 "Loop iteration 3"
(06/26/2025 09:00:12PM) Core:3 "Loop iteration 1"
(06/26/2025 09:00:12PM) Core:3 "Loop iteration 2"
(06/26/2025 09:00:12PM) Core:3 "Loop iteration 3"
(06/26/2025 09:00:12PM) Core:3 "Loop iteration 1"
(06/26/2025 09:00:12PM) Core:3 "Loop iteration 2"
(06/26/2025 09:00:12PM) Core:3 "Loop iteration 3"
(06/26/2025 09:00:12PM) Core:3 "DECLARE var21 = 95"
(06/26/2025 09:00:13PM) Core:3 "Loop iteration 1"
