Process name: p151
Process ID: 151
Logs:

(06/26/2025 07:04:33PM) Core:0 "DECLARE var0 = 84"
(06/26/2025 07:04:34PM) Core:0 "DECLARE var1 = 33"
(06/26/2025 07:04:34PM) Core:0 "DECLARE var2 = 26"
(06/26/2025 07:04:34PM) Core:0 "DECLARE var3 = 99"
(06/26/2025 07:04:34PM) Core:0 "DECLARE var4 = 63"
(06/26/2025 07:04:34PM) Core:0 "DECLARE var5 = 38"
(06/26/2025 07:04:34PM) Core:0 "Hello from p151 [6]"
(06/26/2025 07:04:34PM) Core:0 "DECLARE var7 = 40"
(06/26/2025 07:04:34PM) Core:0 "Hello from p151 [8]"
(06/26/2025 07:04:34PM) Core:0 "Hello from p151 [9]"
(06/26/2025 07:04:34PM) Core:0 "SUBTRACT result10 = 84 - 33"
(06/26/2025 07:04:36PM) Core:0 "Hello from p151 [13]"
(06/26/2025 07:04:36PM) Core:0 "SUBTRACT result14 = 63 - 84"
(06/26/2025 07:04:37PM) Core:0 "Loop iteration 1"
(06/26/2025 07:04:37PM) Core:0 "Loop iteration 2"
(06/26/2025 07:04:37PM) Core:0 "Loop iteration 3"
(06/26/2025 07:04:37PM) Core:0 "Loop iteration 1"
(06/26/2025 07:04:37PM) Core:0 "Loop iteration 2"
(06/26/2025 07:04:37PM) Core:0 "Loop iteration 3"
(06/26/2025 07:04:37PM) Core:0 "Loop iteration 1"
(06/26/2025 07:04:37PM) Core:0 "Loop iteration 2"
(06/26/2025 07:04:37PM) Core:0 "Loop iteration 3"
(06/26/2025 07:04:37PM) Core:0 "Loop iteration 1"
(06/26/2025 07:04:37PM) Core:0 "Loop iteration 2"
(06/26/2025 07:04:37PM) Core:0 "Loop iteration 3"
(06/26/2025 07:04:38PM) Core:0 "Hello from p151 [18]"
(06/26/2025 07:04:38PM) Core:0 "DECLARE var19 = 95"
(06/26/2025 07:04:38PM) Core:0 "Hello from p151 [20]"
(06/26/2025 07:04:38PM) Core:0 "Loop iteration 1"
(06/26/2025 07:04:38PM) Core:0 "Loop iteration 2"
(06/26/2025 07:04:38PM) Core:0 "Loop iteration 3"
(06/26/2025 07:04:38PM) Core:0 "Loop iteration 1"
(06/26/2025 07:04:38PM) Core:0 "Loop iteration 2"
(06/26/2025 07:04:38PM) Core:0 "Loop iteration 3"
(06/26/2025 07:04:38PM) Core:0 "Loop iteration 1"
(06/26/2025 07:04:38PM) Core:0 "Loop iteration 2"
(06/26/2025 07:04:38PM) Core:0 "Loop iteration 3"
