(06/28/2025 03:53:59PM) Core:0 "[(06/28/2025 03:53:59PM)] Core 0 | PID 2639 | DECLARE: var0 = 29"
(06/28/2025 03:53:59PM) Core:0 "[(06/28/2025 03:53:59PM)] Core 0 | PID 2639 | DECLARE: var1 = 57"
(06/28/2025 03:53:59PM) Core:0 "[(06/28/2025 03:53:59PM)] Core 0 | PID 2639 | DECLARE: var2 = 60"
(06/28/2025 03:53:59PM) Core:0 "[(06/28/2025 03:53:59PM)] Core 0 | PID 2639 | DECLARE: var3 = 87"
(06/28/2025 03:53:59PM) Core:0 "[(06/28/2025 03:53:59PM)] Core 0 | PID 2639 | DECLARE: var4 = 9"
(06/28/2025 03:53:59PM) Core:0 "[(06/28/2025 03:53:59PM)] Core 0 | PID 2639 | SUBTRACT: 29 - 57 = 0"
(06/28/2025 03:53:59PM) Core:0 "[(06/28/2025 03:53:59PM)] Core 0 | PID 2639 | DECLARE: var1 = 78"
(06/28/2025 03:53:59PM) Core:0 "[(06/28/2025 03:53:59PM)] Core 0 | PID 2639 | PRINT: "Loop iteration 1 (outer 1)""
(06/28/2025 03:53:59PM) Core:0 "[(06/28/2025 03:53:59PM)] Core 0 | PID 2639 | PRINT: "Loop iteration 2 (outer 1)""
(06/28/2025 03:53:59PM) Core:0 "[(06/28/2025 03:53:59PM)] Core 0 | PID 2639 | PRINT: "Loop iteration 3 (outer 1)""
(06/28/2025 03:53:59PM) Core:0 "[(06/28/2025 03:53:59PM)] Core 0 | PID 2639 | PRINT: "Loop iteration 1 (outer 2)""
(06/28/2025 03:53:59PM) Core:0 "[(06/28/2025 03:53:59PM)] Core 0 | PID 2639 | PRINT: "Loop iteration 2 (outer 2)""
(06/28/2025 03:53:59PM) Core:0 "[(06/28/2025 03:53:59PM)] Core 0 | PID 2639 | PRINT: "Loop iteration 3 (outer 2)""
(06/28/2025 03:53:59PM) Core:0 "[(06/28/2025 03:53:59PM)] Core 0 | PID 2639 | PRINT: "Loop iteration 1 (outer 3)""
(06/28/2025 03:53:59PM) Core:0 "[(06/28/2025 03:53:59PM)] Core 0 | PID 2639 | PRINT: "Loop iteration 2 (outer 3)""
(06/28/2025 03:53:59PM) Core:0 "[(06/28/2025 03:53:59PM)] Core 0 | PID 2639 | PRINT: "Loop iteration 3 (outer 3)""
(06/28/2025 03:53:59PM) Core:0 "[(06/28/2025 03:53:59PM)] Core 0 | PID 2639 | SLEEP: for 123ms"
(06/28/2025 03:54:00PM) Core:0 "[(06/28/2025 03:54:00PM)] Core 0 | PID 2639 | SLEEP: for 135ms"
(06/28/2025 03:54:00PM) Core:0 "[(06/28/2025 03:54:00PM)] Core 0 | PID 2639 | SUBTRACT: 29 - 78 = 0"
(06/28/2025 03:54:00PM) Core:0 "[(06/28/2025 03:54:00PM)] Core 0 | PID 2639 | SUBTRACT: 78 - 60 = 18"
